PageNum,ProductName,Price(₹),Original_Price(₹),Discount(%),Rating,Review,Features
1,Samsung 138 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV 2025 Edition with Vision AI |100% Color Vol...,"₹44,990","₹75,500",40% off,4.2,"3,225 Ratings & 202 Reviews",Ultra HD (4K) | QLEDModel ID: QA55QEF6AULXLLaunch Year: 2025Total Sound Output: 20 W2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)
1,Samsung Crystal 4K Infinity Vision 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV 2025 Edition with...,"₹26,490","₹41,300",35% off,4.3,"71,869 Ratings & 4,754 Reviews",Ultra HD (4K) | LEDModel ID: UA43UE84AFULXLLaunch Year: 2025Total Sound Output: 20 W2 Year Warranty (1 Year Standard Warranty + 1 Year additional warranty on Panel)
1,MarQ by Flipkart 60 cm (24 inch) HD Ready LED TV,"₹4,099","₹15,000",72% off,4.2,"11,465 Ratings & 849 Reviews",HD Ready | LEDModel ID: 24HDNDQEETBLaunch Year: 2024Total Sound Output: 20 W12 Months Warranty
1,realme TechLife 80 cm (32 inch) QLED HD Ready Smart Google TV 2025 Edition,"₹9,299","₹23,999",61% off,4.3,"21,220 Ratings & 1,628 Reviews",HD Ready | QLEDModel ID: 32HDGQRDDAQLaunch Year: 2025Total Sound Output: 26 W1 Year Warranty for Manufacturing Defects (Applicable only in INDIA)
1,Coocaa S4U Pro 80 cm (32 inch) HD Ready LED Smart Coolita TV 2025 Edition with Dolby Audio | 20W Speak...,"₹7,699","₹13,999",45% off,4.2,"21,336 Ratings & 2,551 Reviews",HD Ready | LEDModel ID: 32S4U ProLaunch Year: 2025Total Sound Output: 20 W1 Year Domestic Warranty
1,PHILIPS 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV 2025 Edition with Dolby Vision 30W Dolby A...,"₹26,999","₹32,999",18% off,4.1,"2,355 Ratings & 335 Reviews",Ultra HD (4K) | QLEDModel ID: 50PQT8100/94Launch Year: 2025Total Sound Output: 30 W1 Year Domestic Warranty On Product
1,iFFALCON by TCL S55 100 cm (40 inch) Full HD LED Smart Google TV 2025 Edition with HDR 10 | 20W Dolby ...,"₹12,999","₹33,990",61% off,4.1,"7,110 Ratings & 472 Reviews",Full HD | LEDModel ID: 40S55Launch Year: 2025Total Sound Output: 20 W1 Year Product Warranty
1,Infinix 80 cm (32 inch) HD Ready LED Smart Linux TV,"₹7,599","₹16,999",55% off,4.2,"66,438 Ratings & 6,186 Reviews",HD Ready | LEDModel ID: 32Y1D/32Y1C/32Y1BLaunch Year: 2024Total Sound Output: 16 W1 Year Warranty on Product
1,Coocaa S4U Plus 126 cm (50 inch) Full HD LED Smart Coolita TV 2025 Edition with Dolby Audio| Narrow Fr...,"₹17,999","₹35,999",50% off,4.1,"22,423 Ratings & 2,466 Reviews",Full HD | LEDModel ID: 50S4U PlusLaunch Year: 2025Total Sound Output: 20 W1 Year Domestic Warranty
1,BESTON 80 cm (32 inch) HD Ready LED Smart Android TV 2025 Edition,"₹7,359","₹17,999",59% off,3.9,"5,486 Ratings & 671 Reviews","HD Ready | LEDModel ID: BS32HD1Launch Year: 2025Total Sound Output: 20 W2 Year warranty on Product , Onsite Warranty on Product and No Delivery Damages Covered"
